Wall time,Step,Value
1701552163.018094,1446,3.712303805514239e-05
1701552163.3440928,1460,3.8370875699911267e-05
1701552163.4391005,1464,9.609023982193321e-05
1701552164.5450912,1512,0.00010285901225870475
1701552164.7101,1519,0.0001015694797388278
1701552165.2340915,1541,0.00011735026782844216
1701552165.5500922,1553,3.593031578930095e-05
1701552165.7840934,1563,9.537737059872597e-05
1701552166.5130916,1593,9.451541700400412e-05
1701552166.772098,1604,6.2697145040147e-05
1701552167.097091,1618,2.8039105018251576e-05
1701552167.8760927,1650,5.228366717346944e-05
1701552168.5241013,1679,3.772713534999639e-05
1701552168.8790917,1695,3.183586522936821e-05
1701552169.242091,1711,2.3607373805134557e-05
1701552169.3310907,1715,2.9990158509463072e-05
1701552169.7090948,1732,6.106500222813338e-05
1701552170.5031033,1767,2.7318492357153445e-05
1701552171.5490904,1809,0.0008781134383752942
1701552171.7610943,1818,3.297984949313104e-05
1701552172.1800926,1836,3.959121386287734e-05
1701552172.3880985,1845,6.628669507335871e-05
1701552172.7100968,1859,3.9404723793268204e-05
1701552172.7530959,1861,1.6820456949062645e-05
1701552172.8240914,1864,3.341165211168118e-05
1701552173.8390915,1908,8.399032594752498e-06
1701552174.8740985,1953,2.4541593575122533e-06
1701552175.301091,1971,1.1298811841697898e-06
1701552175.510091,1980,9.926411621563602e-07
1701552175.8080928,1993,1.574883299326757e-06
1701552175.878092,1996,8.13542328614858e-07
1701552176.057098,2004,1.2664331734413281e-06
1701552176.9810903,2044,1.8477248886483721e-06
1701552177.3670974,2061,1.6665904922774644e-06
1701552177.6011,2071,2.5001941139635164e-06
1701552177.6750908,2074,2.4073378881439567e-06
1701552178.9180913,2128,6.409399702533847e-06
1701552179.201093,2140,3.4236691135447472e-06
1701552179.779091,2163,5.685905307473149e-06
1701552180.7580907,2204,8.555035492463503e-06
1701552180.942097,2212,1.3017885066801682e-05
1701552181.0400906,2216,1.3393188055488281e-05
1701552181.2180943,2223,1.3133478205418214e-05
1701552182.4710994,2276,2.3609902200405486e-05
